EMP_ID,PROJECT_ID
1,217
2,216
2,204
3,203
4,214
4,203
5,212
6,203
6,220
6,217
7,205
7,210
7,207
8,219
8,217
9,212
9,212
10,201
10,214
11,220
12,215
12,212
13,206
13,220
14,220
14,206
14,202
15,215
15,219
15,202
16,205
17,204
17,216
17,210
18,213
18,202
18,210
19,215
19,218
20,215
21,215
21,204
21,204
22,206
22,215
22,219
23,216
23,217
24,208
25,203
25,203
26,207
26,218
26,206
27,211
28,209
28,205
28,215
29,218
29,211
30,220
30,214
31,214
31,219
31,215
32,210
32,203
33,206
33,217
33,218
34,218
34,210
34,214
35,218
35,212
35,219
36,213
36,215
37,218
37,217
38,203
38,216
39,208
39,206
40,204
41,218
42,204
42,206
42,204
43,217
44,220
44,210
45,214
45,215
45,206
46,204
46,220
46,205
47,204
47,204
48,207
48,202
48,217
49,208
49,217
50,205
50,215
50,202
51,219
52,205
53,205
54,208
54,218
54,215
55,204
55,208
55,208
56,220
56,218
56,212
57,205
57,220
58,201
58,212
59,206
59,211
59,215
60,215
60,214
61,220
61,208
62,209
62,201
63,219
64,204
64,211
64,207
65,219
66,208
67,201
67,215
68,212
68,205
69,206
69,214
69,205
70,204
71,219
71,210
71,208
72,205
72,208
73,212
74,209
74,209
75,220
75,216
75,201
76,206
76,210
76,204
77,213
77,220
77,206
78,211
79,201
79,214
79,217
80,204
80,218
81,212
82,209
82,203
83,212
83,210
83,214
84,208
84,217
85,218
86,208
87,216
87,213
87,208
88,207
88,210
88,207
89,218
90,215
90,216
91,211
92,217
92,206
92,208
93,220
93,206
94,212
95,219
95,202
95,211
96,202
97,205
97,205
97,218
98,219
99,211
99,201
99,215
100,203
100,202
