PROJECT_ID,PROJECT_NAME,BUDGET
201,Project_201,639831
202,Project_202,189840
203,Project_203,666253
204,Project_204,790048
205,Project_205,398660
206,Project_206,973933
207,Project_207,138400
208,Project_208,435264
209,Project_209,390489
210,Project_210,483462
211,Project_211,601439
212,Project_212,506416
213,Project_213,337498
214,Project_214,633970
215,Project_215,962039
216,Project_216,544520
217,Project_217,925512
218,Project_218,452462
219,Project_219,363473
220,Project_220,593683
